"Id","ProductDisplayName","PublisherDisplayName","VersionDisplayName","ProductId","BranchDisplayName","PackageAutoUpdateCapable","Locales","ApplicableArchitectures","LastModifiedDateTime","PrivacyInformationUrl","InformationUrl","Description","Type"
"00024c67-408d-0790-4399-a9c7ce94eade","Mozilla Firefox ESR 115","Mozilla","115.40.0","058a1ffd-0893-138d-571e-36efcfee3a25","Firefox ESR 115 (Greek) (x64)","True","el","x64",,,,,"#microsoft.graph.win32MobileAppCatalogPackage"
"000ca8ba-789b-6d9d-d251-a855b01b2d13","Microsoft Azure Data Studio","Microsoft","1.52.0","dd3ba5e5-2203-fef7-ffa4-362223a9302f","Azure Data Studio (System Installer) (x64)","False","en-US","x64",,,,,"#microsoft.graph.win32MobileAppCatalogPackage"
"0060e97c-cbd8-713d-ad8a-1f09a6d21d31","Devolutions Launcher","Devolutions inc","2026.2.18.0","416e35f3-c517-6a0c-240e-3722a8bf86c0","Devolutions Launcher (MSI)","True","en-US","x64",,,,,"#microsoft.graph.win32MobileAppCatalogPackage"
"006a0df4-ffe6-c5b5-648f-bffd4918a198","Google Backup and Sync","Google","3.56.3802.7766","aac896ca-f614-be0d-48b2-35e155bedc75","Backup and Sync","False","en-US","x86,x64",,,,,"#microsoft.graph.win32MobileAppCatalogPackage"
"00a056a0-c4e8-aa20-cd59-b930420b2042","SMath Studio","SMath LLC","1.5.0-9678","f67a9770-9ee8-9102-4f89-370376a923b4","SMath Studio","False","en-US","x86,x64",,,,,"#microsoft.graph.win32MobileAppCatalogPackage"
"00c14288-0b3d-7cfa-aa3b-4fdcd32c92d9","Eclipse Temurin JDK with Hotspot 8 (LTS)","Eclipse Foundation","8.0.504.1","2f44f4ec-ff78-5a6c-6038-35e155d15f59","Eclipse Temurin JDK with Hotspot 8 (LTS) (x64)","False","en-US","x64",,,,,"#microsoft.graph.win32MobileAppCatalogPackage"
"00e58542-b8ed-4b19-0db3-d3357ed8d049","Amazon AWS VPN Client","Amazon","5.4.3","42015e5c-d515-3a36-2ba4-367c880e29da","AWS VPN Client","False","en-US","x64",,,,,"#microsoft.graph.win32MobileAppCatalogPackage"
"00ec2084-063b-a11a-2df3-d91f33f4f604","Certify The Web","Webprofusion Pty Ltd","6.1.0","645c229a-db99-a41d-a83f-373193ec2474","Certify The Web","False","en-US","x64",,,,,"#microsoft.graph.win32MobileAppCatalogPackage"
"00f10d0e-de9d-55bd-9b9b-fadacaee88f3","Mozilla Firefox ESR 102","Mozilla","102.15.1","37a3f6b5-8193-9520-e648-36a1675f893c","Firefox ESR 102 (Portuguese Brazilian) (x64)","True","pt-BR","x64",,,,,"#microsoft.graph.win32MobileAppCatalogPackage"
"014215d9-8b3e-c6ad-c3ab-c30f03ee6e46","The Document Foundation LibreOffice 24 Help Pack","The Document Foundation","24.8.7.2","66be8883-b4d8-b84c-a9aa-3708c3cb5b97","LibreOffice 24.8 Help Pack (x64) (German)","False","de","x64",,,,,"#microsoft.graph.win32MobileAppCatalogPackage"
